solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,ASIC_320k.mtx,321821,2635364,1,1,7.9326,0.106018,1.30832e-07,5.14491e-33,578,732.285
MUMPS,ASIC_320k.mtx,321821,2635364,1,2,10.7182,0.0941124,1.30832e-07,5.14491e-33,578,732.398
MUMPS,ASIC_320k.mtx,321821,2635364,1,3,7.49009,0.0826767,1.30832e-07,5.14491e-33,578,732.289
MUMPS,ASIC_320k.mtx,321821,2635364,1,4,7.41496,0.080822,1.30832e-07,5.14491e-33,578,732.297
MUMPS,ASIC_320k.mtx,321821,2635364,2,1,4.92359,0.0607495,1.24566e-07,4.8985e-33,536,734.32
MUMPS,ASIC_320k.mtx,321821,2635364,2,2,5.06434,0.0606382,1.26124e-07,4.95978e-33,536,734.457
MUMPS,ASIC_320k.mtx,321821,2635364,2,3,4.91173,0.0611144,1.24566e-07,4.89853e-33,536,734.133
MUMPS,ASIC_320k.mtx,321821,2635364,2,4,5.04015,0.0559409,1.25893e-07,4.9507e-33,536,734.02
MUMPS,ASIC_320k.mtx,321821,2635364,4,1,5.10906,0.119343,1.28034e-07,5.03489e-33,516,731.793
MUMPS,ASIC_320k.mtx,321821,2635364,4,2,4.98249,0.112792,1.27947e-07,5.03147e-33,516,730.555
MUMPS,ASIC_320k.mtx,321821,2635364,4,3,5.10469,0.10744,1.27947e-07,5.03148e-33,516,730.668
MUMPS,ASIC_320k.mtx,321821,2635364,4,4,5.00416,0.108548,1.27976e-07,5.03262e-33,516,731.785
PARDISO,ASIC_320k.mtx,321821,2635364,1,1,3.0262,0.0980985,1.23613e-07,4.86103e-33,254.797,364.25
PARDISO,ASIC_320k.mtx,321821,2635364,1,2,2.75423,0.0862175,1.23613e-07,4.86103e-33,254.797,364.316
PARDISO,ASIC_320k.mtx,321821,2635364,1,3,2.74067,0.100482,1.23613e-07,4.86103e-33,254.797,364.105
PARDISO,ASIC_320k.mtx,321821,2635364,1,4,2.98024,0.0796958,1.23613e-07,4.86103e-33,254.797,364.273
PARDISO,ASIC_320k.mtx,321821,2635364,2,1,2.66149,0.0840812,1.23613e-07,4.86103e-33,265.996,371.902
PARDISO,ASIC_320k.mtx,321821,2635364,2,2,2.64592,0.0773167,1.23613e-07,4.86103e-33,265.996,371.777
PARDISO,ASIC_320k.mtx,321821,2635364,2,3,2.59114,0.0833899,1.23613e-07,4.86103e-33,265.996,371.742
PARDISO,ASIC_320k.mtx,321821,2635364,2,4,2.57342,0.0822506,1.23613e-07,4.86103e-33,265.996,371.77
PARDISO,ASIC_320k.mtx,321821,2635364,4,1,2.51262,0.0675327,1.23613e-07,4.86103e-33,291.951,383.957
PARDISO,ASIC_320k.mtx,321821,2635364,4,2,2.43803,0.0777346,1.23613e-07,4.86103e-33,291.951,383.871
PARDISO,ASIC_320k.mtx,321821,2635364,4,3,2.47558,0.0706936,1.23613e-07,4.86103e-33,291.951,383.262
PARDISO,ASIC_320k.mtx,321821,2635364,4,4,2.41127,0.0814072,1.23613e-07,4.86103e-33,291.951,383.285
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,1,0.00517541,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,2,0.00528458,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,3,0.00639048,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,4,0.00634209,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,1,0.00641204,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,2,0.00548157,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,3,0.00546737,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,4,0.00563338,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,1,0.00535938,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,2,0.00521088,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,3,0.00536763,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,4,0.00549322,0,-1,-1,0,0
