solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,lhr71.mtx,70304,1528092,1,1,0.384819,0.0214904,1.55704e+15,4.15099e-25,133,261.668
MUMPS,lhr71.mtx,70304,1528092,1,2,0.330732,0.0230201,1.55704e+15,4.15099e-25,133,261.594
MUMPS,lhr71.mtx,70304,1528092,1,3,0.344866,0.0243219,1.55704e+15,4.15099e-25,133,261.664
MUMPS,lhr71.mtx,70304,1528092,1,4,0.304163,0.0220992,1.55704e+15,4.15099e-25,133,261.68
MUMPS,lhr71.mtx,70304,1528092,2,1,0.334451,0.0204761,6.73985e+14,1.79681e-25,154,272.672
MUMPS,lhr71.mtx,70304,1528092,2,2,0.270405,0.0178931,6.73985e+14,1.79681e-25,154,272.617
MUMPS,lhr71.mtx,70304,1528092,2,3,0.289158,0.0213045,6.73985e+14,1.79681e-25,154,272.906
MUMPS,lhr71.mtx,70304,1528092,2,4,0.299375,0.0182945,6.73985e+14,1.79681e-25,154,272.734
MUMPS,lhr71.mtx,70304,1528092,4,1,0.349928,0.0237149,1.07773e+15,2.87319e-25,157,265.484
MUMPS,lhr71.mtx,70304,1528092,4,2,0.337056,0.0211585,1.07773e+15,2.87319e-25,157,265.57
MUMPS,lhr71.mtx,70304,1528092,4,3,0.296653,0.0252332,1.07773e+15,2.87319e-25,157,265.48
MUMPS,lhr71.mtx,70304,1528092,4,4,0.391247,0.0247922,1.07773e+15,2.87319e-25,157,265.332
PARDISO,lhr71.mtx,70304,1528092,1,1,1.53233,0.0635642,4.82761e+21,1.28702e-18,176.037,256.98
PARDISO,lhr71.mtx,70304,1528092,1,2,1.41784,0.0499487,4.82761e+21,1.28702e-18,176.037,256.918
PARDISO,lhr71.mtx,70304,1528092,1,3,1.54792,0.0657554,4.82761e+21,1.28702e-18,176.037,256.852
PARDISO,lhr71.mtx,70304,1528092,1,4,1.51009,0.0509102,4.82761e+21,1.28702e-18,176.037,256.891
PARDISO,lhr71.mtx,70304,1528092,2,1,1.22601,0.0389838,3.36035e+21,8.95852e-19,177.518,259.609
PARDISO,lhr71.mtx,70304,1528092,2,2,1.34644,0.0423269,3.36017e+21,8.95804e-19,177.518,259.492
PARDISO,lhr71.mtx,70304,1528092,2,3,1.37635,0.0385869,2.43863e+21,6.50126e-19,177.518,259.84
PARDISO,lhr71.mtx,70304,1528092,2,4,1.30763,0.0401352,2.43863e+21,6.50126e-19,177.518,259.652
PARDISO,lhr71.mtx,70304,1528092,4,1,1.31014,0.0332705,2.9563e+21,7.88134e-19,181.271,264.082
PARDISO,lhr71.mtx,70304,1528092,4,2,1.28427,0.0366968,1.09733e+21,2.92542e-19,181.271,263.727
PARDISO,lhr71.mtx,70304,1528092,4,3,1.23609,0.038213,2.95628e+21,7.8813e-19,181.271,263.863
PARDISO,lhr71.mtx,70304,1528092,4,4,1.34291,0.0435008,1.44945e+21,3.86416e-19,181.271,263.875
SuperLU_MT,lhr71.mtx,70304,1528092,1,1,0.453226,0.0174476,3.014e+12,1.82016e-28,111.989,207.777
SuperLU_MT,lhr71.mtx,70304,1528092,1,2,0.40967,0.0195709,3.014e+12,1.82016e-28,111.989,207.773
SuperLU_MT,lhr71.mtx,70304,1528092,1,3,0.457865,0.0191084,3.014e+12,1.82016e-28,111.989,207.84
SuperLU_MT,lhr71.mtx,70304,1528092,1,4,0.43835,0.0159791,3.014e+12,1.82016e-28,111.989,207.777
SuperLU_MT,lhr71.mtx,70304,1528092,2,1,0.24277,0.01697,3.80216e+12,3.36038e-28,136.592,237.512
SuperLU_MT,lhr71.mtx,70304,1528092,2,2,0.227743,0.0157669,2.81252e+12,2.48573e-28,136.589,237.594
SuperLU_MT,lhr71.mtx,70304,1528092,2,3,0.243024,0.0197925,3.92035e+12,3.46484e-28,136.589,237.715
SuperLU_MT,lhr71.mtx,70304,1528092,2,4,0.267191,0.0184199,2.80051e+12,2.47512e-28,136.578,237.707
SuperLU_MT,lhr71.mtx,70304,1528092,4,1,0.229391,0.0192247,4.25238e+12,3.75674e-28,185.781,297.441
SuperLU_MT,lhr71.mtx,70304,1528092,4,2,0.17384,0.0182968,4.39491e+12,3.88264e-28,185.796,297.465
SuperLU_MT,lhr71.mtx,70304,1528092,4,3,0.195403,0.0187801,4.5557e+12,4.02473e-28,185.807,297.527
SuperLU_MT,lhr71.mtx,70304,1528092,4,4,0.207303,0.0187763,3.28701e+12,2.90388e-28,185.773,297.598
