solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,thermal2.mtx,1228045,4904179,1,1,7.15748,0.343513,2.62135e-13,1.15614e-19,1217,1528.04
MUMPS,thermal2.mtx,1228045,4904179,1,2,4.60385,0.317408,2.62135e-13,1.15614e-19,1217,1528.04
MUMPS,thermal2.mtx,1228045,4904179,1,3,4.68286,0.32394,2.62135e-13,1.15614e-19,1217,1527.99
MUMPS,thermal2.mtx,1228045,4904179,1,4,5.03234,0.337306,2.62135e-13,1.15614e-19,1217,1528.02
MUMPS,thermal2.mtx,1228045,4904179,2,1,3.73082,0.291495,2.62104e-13,1.156e-19,1378,1634.23
MUMPS,thermal2.mtx,1228045,4904179,2,2,3.902,0.319951,2.62118e-13,1.15606e-19,1378,1634.23
MUMPS,thermal2.mtx,1228045,4904179,2,3,3.52355,0.283596,2.62113e-13,1.15604e-19,1378,1634.02
MUMPS,thermal2.mtx,1228045,4904179,2,4,3.47888,0.28976,2.62116e-13,1.15605e-19,1378,1634.16
MUMPS,thermal2.mtx,1228045,4904179,4,1,3.38127,0.375112,2.6211e-13,1.15603e-19,1385,1641.99
MUMPS,thermal2.mtx,1228045,4904179,4,2,3.32476,0.374987,2.62111e-13,1.15603e-19,1385,1641.76
MUMPS,thermal2.mtx,1228045,4904179,4,3,4.96887,0.390995,2.62111e-13,1.15603e-19,1385,1641.92
MUMPS,thermal2.mtx,1228045,4904179,4,4,3.31581,0.37432,2.62111e-13,1.15604e-19,1385,1642.07
PARDISO,thermal2.mtx,1228045,4904179,1,1,13.7734,0.596325,1.34504e-13,5.93225e-20,1314.69,1541.45
PARDISO,thermal2.mtx,1228045,4904179,1,2,15.3752,0.610535,1.34504e-13,5.93225e-20,1314.69,1541.31
PARDISO,thermal2.mtx,1228045,4904179,1,3,13.8636,0.640398,1.34504e-13,5.93225e-20,1314.69,1541.34
PARDISO,thermal2.mtx,1228045,4904179,1,4,12.2945,0.504051,1.34504e-13,5.93225e-20,1314.69,1541.35
PARDISO,thermal2.mtx,1228045,4904179,2,1,12.8355,0.49782,1.34503e-13,5.93224e-20,1334.03,1566.67
PARDISO,thermal2.mtx,1228045,4904179,2,2,11.2623,0.436734,1.34503e-13,5.93224e-20,1334.03,1566.68
PARDISO,thermal2.mtx,1228045,4904179,2,3,13.1161,0.440516,1.34503e-13,5.93224e-20,1334.03,1566.43
PARDISO,thermal2.mtx,1228045,4904179,2,4,10.2823,0.434821,1.34503e-13,5.9322e-20,1334.03,1566.59
PARDISO,thermal2.mtx,1228045,4904179,4,1,11.6085,0.35518,1.34504e-13,5.93227e-20,1380.88,1610.27
PARDISO,thermal2.mtx,1228045,4904179,4,2,9.05508,0.375697,1.34501e-13,5.93213e-20,1380.88,1610.56
PARDISO,thermal2.mtx,1228045,4904179,4,3,11.685,0.402765,1.34504e-13,5.93224e-20,1380.88,1610.25
PARDISO,thermal2.mtx,1228045,4904179,4,4,9.02692,0.36369,1.34504e-13,5.93227e-20,1380.88,1610.56
SuperLU_MT,thermal2.mtx,1228045,4904179,1,1,3.57297,0.155919,2.13284e-13,9.40685e-20,919.947,1235.5
SuperLU_MT,thermal2.mtx,1228045,4904179,1,2,2.89165,0.132026,2.13284e-13,9.40685e-20,919.947,1235.45
SuperLU_MT,thermal2.mtx,1228045,4904179,1,3,2.96353,0.133468,2.13284e-13,9.40685e-20,919.947,1235.45
SuperLU_MT,thermal2.mtx,1228045,4904179,1,4,2.76838,0.141606,2.13284e-13,9.40685e-20,919.947,1235.66
SuperLU_MT,thermal2.mtx,1228045,4904179,2,1,2.16264,0.1412,2.13252e-13,9.40542e-20,1359.62,1775.04
SuperLU_MT,thermal2.mtx,1228045,4904179,2,2,2.87708,0.166695,2.13252e-13,9.40542e-20,1359.62,1774.77
SuperLU_MT,thermal2.mtx,1228045,4904179,2,3,2.29392,0.154999,2.13252e-13,9.40542e-20,1359.62,1774.94
SuperLU_MT,thermal2.mtx,1228045,4904179,2,4,2.04553,0.141359,2.13252e-13,9.40542e-20,1359.62,1775.16
SuperLU_MT,thermal2.mtx,1228045,4904179,4,1,2.07499,0.170914,2.13255e-13,9.40557e-20,2221.19,2823.47
SuperLU_MT,thermal2.mtx,1228045,4904179,4,2,2.18333,0.183954,2.13256e-13,9.40561e-20,2221.38,2823.78
SuperLU_MT,thermal2.mtx,1228045,4904179,4,3,2.03504,0.168583,2.13256e-13,9.40558e-20,2221.02,2823.45
SuperLU_MT,thermal2.mtx,1228045,4904179,4,4,2.0487,0.167495,2.13256e-13,9.40562e-20,2221.08,2823.26
