solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,tmt_unsym.mtx,917825,4584801,1,1,4.22118,0.225008,0.000127122,1.72668e-19,809,1067.84
MUMPS,tmt_unsym.mtx,917825,4584801,1,2,3.69465,0.217702,0.000127122,1.72668e-19,809,1068.02
MUMPS,tmt_unsym.mtx,917825,4584801,1,3,3.77143,0.248529,0.000127122,1.72668e-19,809,1068.04
MUMPS,tmt_unsym.mtx,917825,4584801,1,4,3.57938,0.224391,0.000127122,1.72668e-19,809,1067.98
MUMPS,tmt_unsym.mtx,917825,4584801,2,1,2.87377,0.21,0.000132517,1.79997e-19,903,1114.97
MUMPS,tmt_unsym.mtx,917825,4584801,2,2,5.56035,0.184544,0.000132517,1.79997e-19,903,1115.26
MUMPS,tmt_unsym.mtx,917825,4584801,2,3,2.7237,0.190592,0.000132517,1.79997e-19,903,1114.93
MUMPS,tmt_unsym.mtx,917825,4584801,2,4,2.68289,0.198621,0.000132517,1.79997e-19,903,1115.07
MUMPS,tmt_unsym.mtx,917825,4584801,4,1,2.65105,0.318007,0.000132636,1.80158e-19,906,1139.96
MUMPS,tmt_unsym.mtx,917825,4584801,4,2,2.52096,0.265566,0.000132636,1.80158e-19,906,1139.87
MUMPS,tmt_unsym.mtx,917825,4584801,4,3,2.65512,0.252667,0.000132636,1.80158e-19,906,1140.07
MUMPS,tmt_unsym.mtx,917825,4584801,4,4,2.59144,0.258296,0.000132636,1.80158e-19,906,1139.82
PARDISO,tmt_unsym.mtx,917825,4584801,1,1,8.24083,0.38873,6.98502e-05,9.48766e-20,1008.73,1176.7
PARDISO,tmt_unsym.mtx,917825,4584801,1,2,8.16763,0.426211,6.98502e-05,9.48766e-20,1008.73,1176.49
PARDISO,tmt_unsym.mtx,917825,4584801,1,3,9.93974,0.343256,6.98502e-05,9.48766e-20,1008.73,1176.66
PARDISO,tmt_unsym.mtx,917825,4584801,1,4,7.38167,0.34714,6.98502e-05,9.48766e-20,1008.73,1176.35
PARDISO,tmt_unsym.mtx,917825,4584801,2,1,6.0147,0.298247,7.00027e-05,9.50837e-20,1023.06,1196.35
PARDISO,tmt_unsym.mtx,917825,4584801,2,2,6.29239,0.294998,7.00027e-05,9.50837e-20,1023.06,1196.19
PARDISO,tmt_unsym.mtx,917825,4584801,2,3,6.14274,0.274419,7.00027e-05,9.50837e-20,1023.06,1196.53
PARDISO,tmt_unsym.mtx,917825,4584801,2,4,6.23386,0.290811,7.00027e-05,9.50837e-20,1023.06,1196.55
PARDISO,tmt_unsym.mtx,917825,4584801,4,1,5.53184,0.274005,7.00177e-05,9.51041e-20,1064.52,1231.07
PARDISO,tmt_unsym.mtx,917825,4584801,4,2,5.39866,0.265966,7.00177e-05,9.51041e-20,1064.52,1230.62
PARDISO,tmt_unsym.mtx,917825,4584801,4,3,5.54275,0.270888,7.00177e-05,9.51041e-20,1064.52,1231.15
PARDISO,tmt_unsym.mtx,917825,4584801,4,4,5.62712,0.229075,7.00177e-05,9.51041e-20,1064.52,1231.04
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,1,33.5863,0.361388,0.000111135,1.50953e-19,2306.59,2590.46
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,2,34.1367,0.334919,0.000111135,1.50953e-19,2306.59,2590.34
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,3,43.0446,0.337584,0.000111135,1.50953e-19,2306.59,2590.09
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,4,37.5248,0.359228,0.000111135,1.50953e-19,2306.59,2590.07
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,1,26.4408,0.32686,0.00011108,1.50878e-19,2628.67,2981.45
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,2,26.3829,0.350207,0.00011108,1.50878e-19,2628.67,2981.41
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,3,26.2003,0.366132,0.00011108,1.50878e-19,2628.67,2981.58
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,4,24.0692,0.346109,0.00011108,1.50878e-19,2628.67,2981.65
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,1,16.8188,0.342157,0.000111062,1.50855e-19,3272.86,3764.56
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,2,17.1789,0.340134,0.000111062,1.50855e-19,3272.86,3764.8
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,3,19.5993,0.334989,0.000111062,1.50855e-19,3272.86,3764.63
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,4,20.7603,0.386427,0.00011102,1.50797e-19,3272.85,3764.59
