solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,ASIC_320k.mtx,321821,2635364,1,1,7.9326,0.106018,1.30832e-07,5.14491e-33,578,732.285
MUMPS,ASIC_320k.mtx,321821,2635364,1,2,10.7182,0.0941124,1.30832e-07,5.14491e-33,578,732.398
MUMPS,ASIC_320k.mtx,321821,2635364,1,3,7.49009,0.0826767,1.30832e-07,5.14491e-33,578,732.289
MUMPS,ASIC_320k.mtx,321821,2635364,1,4,7.41496,0.080822,1.30832e-07,5.14491e-33,578,732.297
MUMPS,ASIC_320k.mtx,321821,2635364,2,1,4.92359,0.0607495,1.24566e-07,4.8985e-33,536,734.32
MUMPS,ASIC_320k.mtx,321821,2635364,2,2,5.06434,0.0606382,1.26124e-07,4.95978e-33,536,734.457
MUMPS,ASIC_320k.mtx,321821,2635364,2,3,4.91173,0.0611144,1.24566e-07,4.89853e-33,536,734.133
MUMPS,ASIC_320k.mtx,321821,2635364,2,4,5.04015,0.0559409,1.25893e-07,4.9507e-33,536,734.02
MUMPS,ASIC_320k.mtx,321821,2635364,4,1,5.10906,0.119343,1.28034e-07,5.03489e-33,516,731.793
MUMPS,ASIC_320k.mtx,321821,2635364,4,2,4.98249,0.112792,1.27947e-07,5.03147e-33,516,730.555
MUMPS,ASIC_320k.mtx,321821,2635364,4,3,5.10469,0.10744,1.27947e-07,5.03148e-33,516,730.668
MUMPS,ASIC_320k.mtx,321821,2635364,4,4,5.00416,0.108548,1.27976e-07,5.03262e-33,516,731.785
