solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,thermal2.mtx,1228045,4904179,1,1,7.15748,0.343513,2.62135e-13,1.15614e-19,1217,1528.04
MUMPS,thermal2.mtx,1228045,4904179,1,2,4.60385,0.317408,2.62135e-13,1.15614e-19,1217,1528.04
MUMPS,thermal2.mtx,1228045,4904179,1,3,4.68286,0.32394,2.62135e-13,1.15614e-19,1217,1527.99
MUMPS,thermal2.mtx,1228045,4904179,1,4,5.03234,0.337306,2.62135e-13,1.15614e-19,1217,1528.02
MUMPS,thermal2.mtx,1228045,4904179,2,1,3.73082,0.291495,2.62104e-13,1.156e-19,1378,1634.23
MUMPS,thermal2.mtx,1228045,4904179,2,2,3.902,0.319951,2.62118e-13,1.15606e-19,1378,1634.23
MUMPS,thermal2.mtx,1228045,4904179,2,3,3.52355,0.283596,2.62113e-13,1.15604e-19,1378,1634.02
MUMPS,thermal2.mtx,1228045,4904179,2,4,3.47888,0.28976,2.62116e-13,1.15605e-19,1378,1634.16
MUMPS,thermal2.mtx,1228045,4904179,4,1,3.38127,0.375112,2.6211e-13,1.15603e-19,1385,1641.99
MUMPS,thermal2.mtx,1228045,4904179,4,2,3.32476,0.374987,2.62111e-13,1.15603e-19,1385,1641.76
MUMPS,thermal2.mtx,1228045,4904179,4,3,4.96887,0.390995,2.62111e-13,1.15603e-19,1385,1641.92
MUMPS,thermal2.mtx,1228045,4904179,4,4,3.31581,0.37432,2.62111e-13,1.15604e-19,1385,1642.07
