solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,tmt_unsym.mtx,917825,4584801,1,1,4.22118,0.225008,0.000127122,1.72668e-19,809,1067.84
MUMPS,tmt_unsym.mtx,917825,4584801,1,2,3.69465,0.217702,0.000127122,1.72668e-19,809,1068.02
MUMPS,tmt_unsym.mtx,917825,4584801,1,3,3.77143,0.248529,0.000127122,1.72668e-19,809,1068.04
MUMPS,tmt_unsym.mtx,917825,4584801,1,4,3.57938,0.224391,0.000127122,1.72668e-19,809,1067.98
MUMPS,tmt_unsym.mtx,917825,4584801,2,1,2.87377,0.21,0.000132517,1.79997e-19,903,1114.97
MUMPS,tmt_unsym.mtx,917825,4584801,2,2,5.56035,0.184544,0.000132517,1.79997e-19,903,1115.26
MUMPS,tmt_unsym.mtx,917825,4584801,2,3,2.7237,0.190592,0.000132517,1.79997e-19,903,1114.93
MUMPS,tmt_unsym.mtx,917825,4584801,2,4,2.68289,0.198621,0.000132517,1.79997e-19,903,1115.07
MUMPS,tmt_unsym.mtx,917825,4584801,4,1,2.65105,0.318007,0.000132636,1.80158e-19,906,1139.96
MUMPS,tmt_unsym.mtx,917825,4584801,4,2,2.52096,0.265566,0.000132636,1.80158e-19,906,1139.87
MUMPS,tmt_unsym.mtx,917825,4584801,4,3,2.65512,0.252667,0.000132636,1.80158e-19,906,1140.07
MUMPS,tmt_unsym.mtx,917825,4584801,4,4,2.59144,0.258296,0.000132636,1.80158e-19,906,1139.82
