solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
PARDISO,ASIC_680k.mtx,682862,3871773,1,1,94.0126,0.278205,8.79734e-05,1.12116e-26,1206.31,1363.08
PARDISO,ASIC_680k.mtx,682862,3871773,1,2,94.9998,0.276149,8.79734e-05,1.12116e-26,1206.31,1363.24
PARDISO,ASIC_680k.mtx,682862,3871773,1,3,95.5111,0.281462,8.79734e-05,1.12116e-26,1206.31,1363.1
PARDISO,ASIC_680k.mtx,682862,3871773,1,4,95.7793,0.271549,8.79734e-05,1.12116e-26,1206.31,1363.12
PARDISO,ASIC_680k.mtx,682862,3871773,2,1,74.01,0.257018,9.21058e-05,1.17383e-26,1235.09,1388.09
PARDISO,ASIC_680k.mtx,682862,3871773,2,2,74.0088,0.260239,9.21058e-05,1.17383e-26,1235.09,1388.05
PARDISO,ASIC_680k.mtx,682862,3871773,2,3,74.5201,0.243429,9.21058e-05,1.17383e-26,1235.09,1387.86
PARDISO,ASIC_680k.mtx,682862,3871773,2,4,74.0296,0.255128,9.21058e-05,1.17383e-26,1235.09,1388.44
PARDISO,ASIC_680k.mtx,682862,3871773,4,1,64.4327,0.248356,0.0001,1.27444e-26,1302.36,1407.5
PARDISO,ASIC_680k.mtx,682862,3871773,4,2,64.4998,0.259881,0.0001,1.27444e-26,1302.36,1407.59
PARDISO,ASIC_680k.mtx,682862,3871773,4,3,64.2352,0.253619,0.0001,1.27444e-26,1302.36,1407.28
PARDISO,ASIC_680k.mtx,682862,3871773,4,4,64.4585,0.246933,0.0001,1.27444e-26,1302.36,1407.47
