solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
PARDISO,lhr04.mtx,4101,82682,1,1,0.161343,0.0115995,4.68946e+06,5.17588e-19,9.66309,42.7773
PARDISO,lhr04.mtx,4101,82682,1,2,0.0839708,0.00296413,4.68946e+06,5.17588e-19,9.66309,42.8477
PARDISO,lhr04.mtx,4101,82682,1,3,0.0856056,0.00287624,4.68946e+06,5.17588e-19,9.66309,42.8477
PARDISO,lhr04.mtx,4101,82682,1,4,0.0834351,0.00300568,4.68946e+06,5.17588e-19,9.66309,42.875
PARDISO,lhr04.mtx,4101,82682,2,1,0.0766617,0.00247854,9.6104e+06,1.06073e-18,9.90918,43.2695
PARDISO,lhr04.mtx,4101,82682,2,2,0.0746295,0.00217908,9.6104e+06,1.06073e-18,9.90918,43.2031
PARDISO,lhr04.mtx,4101,82682,2,3,0.0783555,0.00216012,9.6104e+06,1.06073e-18,9.90918,43.1719
PARDISO,lhr04.mtx,4101,82682,2,4,0.0748352,0.00234245,9.6104e+06,1.06073e-18,9.90918,43.1484
PARDISO,lhr04.mtx,4101,82682,4,1,0.0723145,0.00210517,2.09733e+06,2.31489e-19,10.4453,44.0039
PARDISO,lhr04.mtx,4101,82682,4,2,0.0727673,0.00203899,2.09733e+06,2.31489e-19,10.4453,43.543
PARDISO,lhr04.mtx,4101,82682,4,3,0.0731714,0.00195911,4.1944e+06,4.62947e-19,10.4453,43.8086
PARDISO,lhr04.mtx,4101,82682,4,4,0.0757302,0.00200467,4.1944e+06,4.62947e-19,10.4453,43.457
