solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
PARDISO,thermal2.mtx,1228045,4904179,1,1,13.7734,0.596325,1.34504e-13,5.93225e-20,1314.69,1541.45
PARDISO,thermal2.mtx,1228045,4904179,1,2,15.3752,0.610535,1.34504e-13,5.93225e-20,1314.69,1541.31
PARDISO,thermal2.mtx,1228045,4904179,1,3,13.8636,0.640398,1.34504e-13,5.93225e-20,1314.69,1541.34
PARDISO,thermal2.mtx,1228045,4904179,1,4,12.2945,0.504051,1.34504e-13,5.93225e-20,1314.69,1541.35
PARDISO,thermal2.mtx,1228045,4904179,2,1,12.8355,0.49782,1.34503e-13,5.93224e-20,1334.03,1566.67
PARDISO,thermal2.mtx,1228045,4904179,2,2,11.2623,0.436734,1.34503e-13,5.93224e-20,1334.03,1566.68
PARDISO,thermal2.mtx,1228045,4904179,2,3,13.1161,0.440516,1.34503e-13,5.93224e-20,1334.03,1566.43
PARDISO,thermal2.mtx,1228045,4904179,2,4,10.2823,0.434821,1.34503e-13,5.9322e-20,1334.03,1566.59
PARDISO,thermal2.mtx,1228045,4904179,4,1,11.6085,0.35518,1.34504e-13,5.93227e-20,1380.88,1610.27
PARDISO,thermal2.mtx,1228045,4904179,4,2,9.05508,0.375697,1.34501e-13,5.93213e-20,1380.88,1610.56
PARDISO,thermal2.mtx,1228045,4904179,4,3,11.685,0.402765,1.34504e-13,5.93224e-20,1380.88,1610.25
PARDISO,thermal2.mtx,1228045,4904179,4,4,9.02692,0.36369,1.34504e-13,5.93227e-20,1380.88,1610.56
