solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
PARDISO,tmt_unsym.mtx,917825,4584801,1,1,8.24083,0.38873,6.98502e-05,9.48766e-20,1008.73,1176.7
PARDISO,tmt_unsym.mtx,917825,4584801,1,2,8.16763,0.426211,6.98502e-05,9.48766e-20,1008.73,1176.49
PARDISO,tmt_unsym.mtx,917825,4584801,1,3,9.93974,0.343256,6.98502e-05,9.48766e-20,1008.73,1176.66
PARDISO,tmt_unsym.mtx,917825,4584801,1,4,7.38167,0.34714,6.98502e-05,9.48766e-20,1008.73,1176.35
PARDISO,tmt_unsym.mtx,917825,4584801,2,1,6.0147,0.298247,7.00027e-05,9.50837e-20,1023.06,1196.35
PARDISO,tmt_unsym.mtx,917825,4584801,2,2,6.29239,0.294998,7.00027e-05,9.50837e-20,1023.06,1196.19
PARDISO,tmt_unsym.mtx,917825,4584801,2,3,6.14274,0.274419,7.00027e-05,9.50837e-20,1023.06,1196.53
PARDISO,tmt_unsym.mtx,917825,4584801,2,4,6.23386,0.290811,7.00027e-05,9.50837e-20,1023.06,1196.55
PARDISO,tmt_unsym.mtx,917825,4584801,4,1,5.53184,0.274005,7.00177e-05,9.51041e-20,1064.52,1231.07
PARDISO,tmt_unsym.mtx,917825,4584801,4,2,5.39866,0.265966,7.00177e-05,9.51041e-20,1064.52,1230.62
PARDISO,tmt_unsym.mtx,917825,4584801,4,3,5.54275,0.270888,7.00177e-05,9.51041e-20,1064.52,1231.15
PARDISO,tmt_unsym.mtx,917825,4584801,4,4,5.62712,0.229075,7.00177e-05,9.51041e-20,1064.52,1231.04
