solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,1,0.00517541,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,2,0.00528458,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,3,0.00639048,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,1,4,0.00634209,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,1,0.00641204,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,2,0.00548157,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,3,0.00546737,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,2,4,0.00563338,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,1,0.00535938,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,2,0.00521088,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,3,0.00536763,0,-1,-1,0,0
SuperLU_MT,ASIC_320k.mtx,321821,2635364,4,4,0.00549322,0,-1,-1,0,0
