solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
SuperLU_MT,thermal2.mtx,1228045,4904179,1,1,3.57297,0.155919,2.13284e-13,9.40685e-20,919.947,1235.5
SuperLU_MT,thermal2.mtx,1228045,4904179,1,2,2.89165,0.132026,2.13284e-13,9.40685e-20,919.947,1235.45
SuperLU_MT,thermal2.mtx,1228045,4904179,1,3,2.96353,0.133468,2.13284e-13,9.40685e-20,919.947,1235.45
SuperLU_MT,thermal2.mtx,1228045,4904179,1,4,2.76838,0.141606,2.13284e-13,9.40685e-20,919.947,1235.66
SuperLU_MT,thermal2.mtx,1228045,4904179,2,1,2.16264,0.1412,2.13252e-13,9.40542e-20,1359.62,1775.04
SuperLU_MT,thermal2.mtx,1228045,4904179,2,2,2.87708,0.166695,2.13252e-13,9.40542e-20,1359.62,1774.77
SuperLU_MT,thermal2.mtx,1228045,4904179,2,3,2.29392,0.154999,2.13252e-13,9.40542e-20,1359.62,1774.94
SuperLU_MT,thermal2.mtx,1228045,4904179,2,4,2.04553,0.141359,2.13252e-13,9.40542e-20,1359.62,1775.16
SuperLU_MT,thermal2.mtx,1228045,4904179,4,1,2.07499,0.170914,2.13255e-13,9.40557e-20,2221.19,2823.47
SuperLU_MT,thermal2.mtx,1228045,4904179,4,2,2.18333,0.183954,2.13256e-13,9.40561e-20,2221.38,2823.78
SuperLU_MT,thermal2.mtx,1228045,4904179,4,3,2.03504,0.168583,2.13256e-13,9.40558e-20,2221.02,2823.45
SuperLU_MT,thermal2.mtx,1228045,4904179,4,4,2.0487,0.167495,2.13256e-13,9.40562e-20,2221.08,2823.26
