solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,1,33.5863,0.361388,0.000111135,1.50953e-19,2306.59,2590.46
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,2,34.1367,0.334919,0.000111135,1.50953e-19,2306.59,2590.34
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,3,43.0446,0.337584,0.000111135,1.50953e-19,2306.59,2590.09
SuperLU_MT,tmt_unsym.mtx,917825,4584801,1,4,37.5248,0.359228,0.000111135,1.50953e-19,2306.59,2590.07
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,1,26.4408,0.32686,0.00011108,1.50878e-19,2628.67,2981.45
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,2,26.3829,0.350207,0.00011108,1.50878e-19,2628.67,2981.41
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,3,26.2003,0.366132,0.00011108,1.50878e-19,2628.67,2981.58
SuperLU_MT,tmt_unsym.mtx,917825,4584801,2,4,24.0692,0.346109,0.00011108,1.50878e-19,2628.67,2981.65
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,1,16.8188,0.342157,0.000111062,1.50855e-19,3272.86,3764.56
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,2,17.1789,0.340134,0.000111062,1.50855e-19,3272.86,3764.8
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,3,19.5993,0.334989,0.000111062,1.50855e-19,3272.86,3764.63
SuperLU_MT,tmt_unsym.mtx,917825,4584801,4,4,20.7603,0.386427,0.00011102,1.50797e-19,3272.85,3764.59
